מספר חדר,ID,קטגוריה,סוג,משפחה,קומה
לא משויך,1624660,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624661,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624662,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624663,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624664,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624665,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624924,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624925,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1624926,Lighting Fixtures,Exit,EXIT Base_Ceiling_Wall_R18,לא
לא משויך,1648255,Electrical Equipment,100mmx46mm,M_Circuit Breaker Switchboard,לא
לא משויך,1648258,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648259,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648262,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648263,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648266,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648267,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648270,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648271,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648274,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648275,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648278,Electrical Fixtures,GEN CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648279,Electrical Fixtures,UPS CEE_1x16A_1Ph,Socket_Cee_R19,לא
לא משויך,1648959,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648960,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648963,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648968,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648974,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648975,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648976,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648981,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1648995,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649001,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649028,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649037,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649062,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649072,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649075,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649089,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649095,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649101,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649103,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649124,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649136,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649140,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649142,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649146,Electrical Fixtures,Normal x2,Frame_Socket,לא
לא משויך,1649161,Electrical Fixtures,Normal x2,Frame_Socket,לא
